"deviceid","imei","devicetime","servertime","retardo","lat","lon","satelites","ignicion","bateria","alimentacion","operador","cellId","rssi_celular"
1077,351580051706832,1634815488,1634815500,12,-32.6615033,-71.1123000,15,0,9.979,28.268,73002,2541,5
1077,351580051706832,1634815492,1634815500,8,-32.6615333,-71.1122516,15,0,9.975,28.160,73002,2541,5
1077,351580051706832,1634815520,1634815526,6,-32.6615350,-71.1122450,15,1,9.970,28.110,73002,2541,5
1077,351580051706832,1634815524,1634815526,2,-32.6615350,-71.1122450,15,0,9.971,28.239,73002,2541,5
1077,351580051706832,1634815741,1634815750,9,-32.6615850,-71.1120566,15,0,9.940,28.241,73002,2541,5
1077,351580051706832,1634815749,1634815754,5,-32.6616900,-71.1118450,15,0,9.943,28.211,73002,2541,5
1077,351580051706832,1634815751,1634815754,3,-32.6616650,-71.1118016,15,0,9.938,28.194,73002,2541,5
1077,351580051706832,1634815754,1634815757,3,-32.6615916,-71.1117583,15,0,9.935,28.223,73002,2541,5
1077,351580051706832,1634815756,1634815761,5,-32.6615300,-71.1117650,15,0,9.938,28.215,73002,2541,5
1077,351580051706832,1634815758,1634815761,3,-32.6614850,-71.1118116,15,0,9.939,28.211,73002,2541,5
1077,351580051706832,1634815762,1634815767,5,-32.6614733,-71.1119100,15,0,9.934,28.216,73002,2541,5
1077,351580051706832,1634815766,1634815771,5,-32.6614733,-71.1120250,15,0,9.936,28.232,73002,2541,5
1077,351580051706832,1634815771,1634815775,4,-32.6613633,-71.1121916,15,0,9.936,28.240,73002,2541,5
1077,351580051706832,1634815776,1634815781,5,-32.6612050,-71.1122666,15,0,9.932,28.162,73002,2541,5
1077,351580051706832,1634815777,1634815781,4,-32.6611766,-71.1122783,15,0,9.927,28.163,73002,2541,5
1077,351580051706832,1634815783,1634815793,10,-32.6611266,-71.1123099,15,0,9.932,28.227,73002,2541,5
1077,351580051706832,1634815785,1634815793,8,-32.6611016,-71.1123650,15,0,9.935,28.221,73002,2541,5
1077,351580051706832,1634815793,1634815797,4,-32.6610666,-71.1126166,15,0,9.930,28.238,73002,2541,5
1077,351580051706832,1634815803,1634815810,7,-32.6607033,-71.1126250,15,0,9.926,28.249,73002,2541,5
1077,351580051706832,1634815812,1634815815,3,-32.6602816,-71.1126550,15,0,9.929,28.064,73002,2541,5
1077,351580051706832,1634815814,1634815820,6,-32.6602366,-71.1126566,15,0,9.928,28.105,73002,2541,5
1077,351580051706832,1634815815,1634815820,5,-32.6602300,-71.1126566,15,0,9.923,28.045,73002,2541,5
1077,351580051706832,1634815818,1634815824,6,-32.6602016,-71.1126550,15,0,9.929,28.227,73002,2541,5
1077,351580051706832,1634815820,1634815824,4,-32.6601416,-71.1126616,15,0,9.928,28.189,73002,2541,5
1077,351580051706832,1634815823,1634815828,5,-32.6600283,-71.1127200,15,0,9.923,28.200,73002,2541,5
1077,351580051706832,1634815828,1634815839,11,-32.6599083,-71.1129716,15,0,9.925,28.210,73002,2541,5
1077,351580051706832,1634815837,1634815847,10,-32.6598800,-71.1134950,15,0,9.922,28.249,73002,2542,5
1077,351580051706832,1634815845,1634815856,11,-32.6601950,-71.1140266,15,0,9.925,28.261,73002,2542,5
1077,351580051706832,1634815862,1634815869,7,-32.6613800,-71.1145933,15,0,9.921,28.253,73002,2542,3
1077,351580051706832,1634815868,1634815874,6,-32.6616666,-71.1149066,15,0,9.923,28.256,73002,2542,3
1077,351580051706832,1634815872,1634815879,7,-32.6616816,-71.1151916,15,0,9.917,28.251,73002,2542,3
1077,351580051706832,1634815874,1634815879,5,-32.6616183,-71.1153166,14,0,9.917,28.177,73002,2542,3
1077,351580051706832,1634815876,1634815884,8,-32.6615100,-71.1153916,15,0,9.917,28.243,73002,2542,3
1077,351580051706832,1634815882,1634815889,7,-32.6611016,-71.1153583,15,0,9.920,28.231,73002,2542,3
1077,351580051706832,1634815896,1634815900,4,-32.6601033,-71.1149800,15,0,9.916,28.240,73002,2542,4
1077,351580051706832,1634815898,1634815900,2,-32.6599966,-71.1149483,14,0,9.916,28.225,73002,2542,4
1077,351580051706832,1634815901,1634815905,4,-32.6598600,-71.1150000,15,0,9.917,28.161,73002,2542,4
1077,351580051706832,1634815903,1634815909,6,-32.6598383,-71.1150933,15,0,9.923,28.208,73002,2542,4
1077,351580051706832,1634815905,1634815909,4,-32.6598700,-71.1151933,15,0,9.918,28.250,73002,2542,4
1077,351580051706832,1634815908,1634815913,5,-32.6600066,-71.1153033,15,0,9.911,28.217,73002,2542,4
1077,351580051706832,1634815912,1634815918,6,-32.6602333,-71.1154016,15,0,9.915,28.217,73002,2542,4
1077,351580051706832,1634815915,1634816006,91,-32.6604366,-71.1155083,15,0,9.915,28.251,73002,2542,4
1077,351580051706832,1634815915,1634816100,185,-32.6604366,-71.1155083,15,0,9.915,28.251,73002,2542,4
1077,351580051706832,1634815938,1634816100,162,-32.6621499,-71.1163933,13,0,9.909,28.276,73002,2542,3
1077,351580051706832,1634815945,1634816100,155,-32.6625733,-71.1167950,14,0,9.908,28.259,73002,2542,3
1077,351580051706832,1634815952,1634816100,148,-32.6627433,-71.1173400,14,0,9.907,28.273,73002,2542,2
1077,351580051706832,1634815962,1634816100,138,-32.6624966,-71.1182683,13,0,9.911,28.265,73002,2542,2
1077,351580051706832,1634815970,1634816100,130,-32.6622083,-71.1188633,14,0,9.903,28.256,73002,2542,2
1077,351580051706832,1634815973,1634816105,132,-32.6620333,-71.1190766,14,0,9.906,28.257,73002,2542,2
1077,351580051706832,1634815987,1634816105,118,-32.6613050,-71.1200283,15,0,9.907,28.249,73002,2542,3
1077,351580051706832,1634815989,1634816105,116,-32.6612283,-71.1201283,15,0,9.903,28.203,73002,2542,3
1077,351580051706832,1634815992,1634816105,113,-32.6611450,-71.1202250,15,0,9.905,28.212,73002,2542,3
1077,351580051706832,1634815994,1634816105,111,-32.6611166,-71.1202483,15,0,9.907,28.134,73002,2542,3
1077,351580051706832,1634815999,1634816105,106,-32.6610700,-71.1202866,14,0,9.904,28.264,73002,2541,3
1077,351580051706832,1634816001,1634816117,116,-32.6610416,-71.1203716,15,0,9.905,28.301,73002,2541,3
1077,351580051706832,1634816004,1634816117,113,-32.6610600,-71.1205550,15,0,9.906,28.283,73002,2541,3
1077,351580051706832,1634816006,1634816117,111,-32.6610900,-71.1207016,15,0,9.906,28.248,73002,2541,3
1077,351580051706832,1634816015,1634816117,102,-32.6611166,-71.1215250,15,0,9.910,28.279,73002,2541,2
1077,351580051706832,1634816023,1634816117,94,-32.6610216,-71.1223350,15,0,9.903,28.270,73002,2541,2
1077,351580051706832,1634816027,1634816117,90,-32.6608933,-71.1227433,14,0,9.905,28.274,73002,2541,2
1077,351580051706832,1634816042,1634816121,79,-32.6603150,-71.1242233,15,0,9.905,28.195,73002,2541,2
1077,351580051706832,1634816045,1634816121,76,-32.6602000,-71.1244616,15,0,9.899,28.239,0,0,2
1077,351580051706832,1634816067,1634816121,54,-32.6591766,-71.1262650,13,0,9.898,28.255,0,8207072,2
1077,351580051706832,1634816072,1634816121,49,-32.6590500,-71.1266950,14,0,9.899,28.285,73002,8207072,1
1077,351580051706832,1634816075,1634816121,46,-32.6591283,-71.1269400,15,0,9.896,28.275,73002,8207072,1
1077,351580051706832,1634816079,1634816121,42,-32.6593700,-71.1271600,15,0,9.899,28.275,73002,28154,1
1077,351580051706832,1634816084,1634816126,42,-32.6597883,-71.1271983,15,0,9.897,28.257,73002,28154,1
1077,351580051706832,1634816095,1634816126,31,-32.6607166,-71.1274700,14,0,9.900,28.259,73002,28154,1
1077,351580051706832,1634816104,1634816126,22,-32.6614400,-71.1277133,14,0,9.893,28.268,73002,28154,5
1077,351580051706832,1634816108,1634816126,18,-32.6617433,-71.1275766,14,0,9.893,28.274,73002,28154,5
1077,351580051706832,1634816115,1634816126,11,-32.6622033,-71.1271316,14,0,9.894,28.242,73002,2451240,5
1077,351580051706832,1634816128,1634816138,10,-32.6632016,-71.1267233,14,0,9.890,28.255,73002,2451240,5
1077,351580051706832,1634816144,1634816151,7,-32.6643416,-71.1264450,12,0,9.889,28.279,73002,2451240,4
1077,351580051706832,1634816150,1634816155,5,-32.6648383,-71.1264366,14,0,9.890,28.275,73002,2451240,4
1077,351580051706832,1634816156,1634816159,3,-32.6652316,-71.1267850,15,0,9.893,28.284,73002,2439643,4
1077,351580051706832,1634816170,1634816178,8,-32.6656683,-71.1279783,15,0,9.893,28.282,73002,2439643,3
1077,351580051706832,1634816193,1634816198,5,-32.6655766,-71.1301383,14,0,9.887,28.263,73002,2441717,3
1077,351580051706832,1634816215,1634816222,7,-32.6653200,-71.1323466,13,0,9.887,28.278,73002,2441717,3
1077,351580051706832,1634816223,1634816228,5,-32.6651666,-71.1330900,14,0,9.887,28.269,73002,2441717,3
1077,351580051706832,1634816246,1634816256,10,-32.6650266,-71.1352700,14,0,9.879,28.285,73002,2441717,3
